neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,host_is_superhost,host_response_rate,host_acceptance_rate,host_response_time,host_listings_count,instant_bookable,availability_30,availability_60,availability_90,availability_365,minimum_nights,maximum_nights,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_cleanliness,review_scores_location,review_scores_value,reviews_per_month,price,city,bathrooms,amenities_count,occupancy_q1,occupancy_q2,occupancy_q3,occupancy_q4,occupancy_autumn,occupancy_spring,occupancy_summer,occupancy_winter,occupancy_rate,occupancy_weekday,occupancy_weekend,total_reviews,days_since_last_review,listing_age_days,reviews_last_6m
Hispanoamérica,40.45829,-3.68878,Private room in rental unit,Private room,2,1.0,1.0,0.0,1.0,0.93,within an hour,2.0,0,2,2,2,2,1,30,110,33,4.79,4.86,4.84,4.61,4.41,75.0,Madrid,1.0,33,1.0,1.0,0.9782608695652174,1.0,0.978021978021978,1.0,1.0,1.0,0.3315068493150684,0.9923076923076924,1.0,,,,
Cortes,40.41925647197347,-3.6991136862988334,Entire rental unit,Entire home/apt,4,0.0,4.0,0.0,1.0,0.99,within an hour,5.0,0,6,33,61,120,2,365,88,65,4.74,4.74,4.88,4.69,5.57,140.0,Madrid,1.0,28,0.5444444444444445,1.0,0.9891304347826086,0.1521739130434782,0.4725274725274725,1.0,1.0,0.1999999999999999,0.3315068493150684,0.6666666666666667,0.6826923076923077,,,,
San Fermín,40.37657692120591,-3.690940996694229,Entire rental unit,Entire home/apt,4,2.0,3.0,1.0,1.0,0.94,within an hour,2.0,1,14,29,50,294,2,1125,114,59,4.73,4.7,4.55,4.72,5.67,83.0,Madrid,1.0,41,0.0999999999999999,0.1758241758241758,0.0869565217391304,0.4130434782608695,0.4175824175824175,0.1304347826086956,0.0434782608695651,0.1888888888888888,0.3315068493150684,0.1538461538461538,0.2952380952380952,,,,
Hispanoamérica,40.45272,-3.68102,Private room in rental unit,Private room,1,1.0,1.0,0.0,0.67,0.82,within a day,1.0,0,0,0,0,161,1,365,47,37,4.98,4.98,4.89,4.91,3.05,48.0,Madrid,1.0,9,0.0,0.2197802197802197,1.0,1.0,1.0,0.0,0.8913043478260869,0.3444444444444444,0.3315068493150684,0.5576923076923077,0.5619047619047619,,,,
El Goloso,40.5056729,-3.703934,Entire rental unit,Entire home/apt,8,4.0,5.0,0.0,0.5,1.0,within a day,1.0,1,0,0,0,255,1,365,5,3,4.0,3.8,4.8,3.8,0.2,270.0,Madrid,2.0,41,0.011111111111111,0.0,0.1847826086956522,1.0,0.8571428571428572,0.0,0.0,0.3555555555555555,0.3315068493150684,0.3038461538461539,0.2952380952380952,,,,
Cuatro Caminos,40.4548892601409,-3.701438138658488,Private room in rental unit,Private room,1,1.0,1.0,0.0,1.0,1.0,within an hour,4.0,0,4,4,17,17,10,90,1,1,4.0,5.0,4.0,5.0,0.65,39.0,Madrid,1.0,7,1.0,1.0,0.967391304347826,0.8478260869565217,0.956043956043956,1.0,1.0,0.8555555555555556,0.3315068493150684,0.950191570881226,0.9615384615384616,,,,
Casco Histórico de Vallecas,40.38011,-3.61737,Entire rental unit,Entire home/apt,4,2.0,3.0,0.0,0.9,0.88,within a few hours,1.0,0,13,32,58,312,2,1125,82,13,4.79,4.71,4.65,4.68,1.77,80.0,Madrid,1.0,37,0.0888888888888889,0.0439560439560439,0.108695652173913,0.3369565217391305,0.3406593406593406,0.0,0.0434782608695651,0.1999999999999999,0.3315068493150684,0.123076923076923,0.1999999999999999,,,,
Almagro,40.4339874,-3.6907739,Entire rental unit,Entire home/apt,4,2.0,2.0,0.0,0.83,1.0,within a day,250.0,1,0,0,0,76,30,1125,1,0,5.0,5.0,5.0,5.0,0.02,218.0,Madrid,2.0,28,1.0,0.989010989010989,0.1847826086956522,1.0,0.8571428571428572,1.0,0.3152173913043478,1.0,0.3315068493150684,0.7923076923076923,0.7904761904761904,,,,
Concepción,40.4367549,-3.6517617,Private room in rental unit,Private room,2,1.0,1.0,0.0,1.0,1.0,within an hour,138.0,1,22,52,82,357,1,365,15,11,4.73,4.67,4.6,4.4,1.17,109.0,Madrid,1.0,27,0.0,0.0,0.0760869565217391,0.0108695652173913,0.0879120879120879,0.0,0.0,0.0,0.3315068493150684,0.0269230769230769,0.0095238095238094,,,,
Universidad,40.42603,-3.70281,Private room in rental unit,Private room,3,1.0,2.0,0.0,1.0,0.99,within an hour,3.0,0,16,43,73,348,2,365,13,13,4.23,4.31,4.77,4.15,1.63,100.0,Madrid,1.0,8,0.0,0.0,0.0978260869565217,0.0869565217391304,0.1868131868131868,0.0,0.0,0.0,0.3315068493150684,0.0421455938697318,0.0576923076923077,,,,
Guindalera,40.43369879999999,-3.6722668,Entire rental unit,Entire home/apt,4,0.0,2.0,0.0,0.91,0.99,within an hour,21.0,1,9,25,43,65,1,365,1,0,5.0,5.0,4.0,5.0,0.05,205.0,Madrid,1.0,16,0.9111111111111112,1.0,0.9565217391304348,0.4239130434782608,0.6373626373626373,1.0,1.0,0.6444444444444444,0.3315068493150684,0.8199233716475096,0.8269230769230769,,,,
Aluche,40.39218,-3.75493,Private room in rental unit,Private room,2,1.0,1.0,0.0,1.0,0.99,Unknown,1.0,0,0,0,0,256,1,365,0,0,4.75,4.79,4.85,4.64,1.42,240.0,Madrid,1.0,13,0.0,0.0,0.1847826086956522,1.0,0.8571428571428572,0.0,0.0,0.3444444444444444,0.3315068493150684,0.3,0.2952380952380952,,,,
Imperial,40.40808,-3.71692,Entire rental unit,Entire home/apt,4,1.0,2.0,0.0,1.0,1.0,within an hour,159.0,0,3,15,36,96,1,365,39,39,4.74,4.85,4.79,4.67,6.13,106.0,Madrid,1.0,38,0.5,1.0,1.0,0.4456521739130434,0.6813186813186813,1.0,1.0,0.2555555555555555,0.3315068493150684,0.7423076923076923,0.7238095238095238,,,,
Palacio,40.41649,-3.70903,Entire rental unit,Entire home/apt,2,0.0,2.0,1.0,1.0,0.99,within an hour,11.0,1,3,6,8,241,1,28,2,1,4.5,4.5,5.0,5.0,0.06,194.0,Madrid,1.0,14,0.3777777777777777,0.0,0.1739130434782608,0.8043478260869565,0.7582417582417582,0.1521739130434782,0.0,0.4555555555555556,0.3315068493150684,0.3448275862068966,0.3269230769230768,,,,
Pinar del Rey,40.4699147086974,-3.647225570601981,Entire rental unit,Entire home/apt,2,1.0,1.0,0.0,1.0,0.98,within an hour,63.0,1,6,33,63,338,1,1125,10,7,4.9,4.8,4.3,4.5,0.71,108.0,Madrid,1.0,23,0.0,0.0,0.1413043478260869,0.1521739130434782,0.2967032967032966,0.0,0.0,0.0,0.3315068493150684,0.0807692307692308,0.0571428571428571,,,,
Embajadores,40.4106616005318,-3.706800592161904,Entire rental unit,Entire home/apt,2,1.0,1.0,0.0,1.0,1.0,within a few hours,3.0,1,0,1,22,215,30,364,4,4,4.5,5.0,5.0,4.5,0.7,79.0,Madrid,1.0,38,0.7111111111111111,0.0,0.1739130434782608,0.7608695652173914,0.6483516483516483,0.0543478260869565,0.0,0.9555555555555556,0.3315068493150684,0.4137931034482759,0.4038461538461538,,,,
Nueva España,40.45980853665254,-3.680750155898239,Entire rental unit,Entire home/apt,6,2.0,4.0,0.0,1.0,0.81,within a few hours,6.0,0,19,49,75,325,2,365,14,14,4.5,4.43,4.64,4.14,1.61,161.0,Madrid,1.0,29,0.2777777777777778,0.0,0.0760869565217391,0.0869565217391304,0.1648351648351648,0.0,0.0,0.2777777777777778,0.3315068493150684,0.0996168582375478,0.1346153846153845,,,,
Imperial,40.4041898,-3.7149922,Entire rental unit,Entire home/apt,4,1.0,2.0,0.0,1.0,1.0,within an hour,61.0,1,13,43,73,99,1,365,13,13,3.85,4.31,4.23,4.08,1.36,88.0,Madrid,1.0,24,0.9222222222222224,1.0,0.9891304347826086,0.0108695652173913,0.3296703296703297,1.0,1.0,0.5777777777777777,0.3315068493150684,0.726923076923077,0.7333333333333334,,,,
