price_eur,log_price_eur,neighbourhood_cleansed,neighbourhood_group,property_group,room_type,bathroom_type,capacity_bucket,host_response_time,host_scale_bucket,review_recency_bucket,latitude,longitude,distance_to_center_km,is_central_5km,neighbourhood_listing_count,accommodates,bedrooms,beds,bathrooms,amenities_count,has_wifi,has_kitchen,has_air_conditioning,has_washer,has_dedicated_workspace,has_tv,has_parking,has_elevator,has_heating,has_self_checkin,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,number_of_reviews_ly,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,host_tenure_days,days_since_last_review,review_history_days,has_reviews,minimum_nights_capped,is_professional_host,calendar_unavailable_rate,calendar_unavailable_q1,calendar_unavailable_q2,calendar_unavailable_q3,calendar_unavailable_q4,calendar_unavailable_autumn,calendar_unavailable_spring,calendar_unavailable_summer,calendar_unavailable_winter,calendar_unavailable_weekday,calendar_unavailable_weekend,beds_per_guest,bathrooms_per_guest,reviews_last_6m,has_rating,reviewed_last_30d,reviewed_last_90d,low_availability_30,high_annual_availability,availability_30_ratio,availability_365_ratio,calendar_weekend_unavailable_gap
49.0,3.912023005428146,Cármenes,Latina,Room,Private room,Private,couple,within an hour,single_listing,reviewed_90d,40.398633163820726,-3.740538167514679,3.709,1,49,2,1.0,1.0,1.0,41,1,1,1,1,1,1,1,0,1,0,1.0,1.0,1.0,1.0,1.0,1.0,100,0,29,59,334,39,16,0,15,5.0,4.95,4.97,4.97,5.0,4.74,4.92,0.0,1,0,1,0,1.13,4605.0,44.0,992.0,1,1,0,0.084931506849315,0.0,0.0,0.1847826086956521,0.1521739130434782,0.3406593406593406,0.0,0.0,0.0,0.0846153846153846,0.0857142857142857,0.5,0.5,5.0,1,0,1,1,1,0.0,0.9151,0.0011
126.0,4.844187086458591,Palos de Moguer,Arganzuela,Apartment/condo,Entire home/apt,Standard,small_group,within an hour,large_operator,reviewed_30d,40.4019477045071,-3.697442586053848,1.737,1,292,4,1.0,1.0,1.0,6,1,1,1,1,1,1,0,0,0,0,0.86,0.95,0.0,76.0,1.0,1.0,365,12,35,65,138,18,18,2,2,4.78,4.72,4.89,4.72,4.72,4.89,4.56,1.0,75,75,0,0,1.79,5052.0,15.0,286.0,1,7,1,0.6219178082191781,0.4,1.0,0.9347826086956522,0.1521739130434782,0.4175824175824176,0.8586956521739131,1.0,0.2,0.6153846153846154,0.638095238095238,0.25,0.25,13.0,1,1,1,0,0,0.4,0.3781,0.0227
198.0,5.293304824724492,Justicia,Centro,Apartment/condo,Entire home/apt,Standard,small_group,within an hour,single_listing,reviewed_90d,40.421,-3.69935,0.6,1,861,4,2.0,3.0,2.0,21,1,1,1,1,0,1,0,1,1,0,1.0,0.95,1.0,1.0,1.0,1.0,365,5,25,55,330,219,54,0,50,4.77,4.77,4.79,4.86,4.87,4.98,4.7,0.0,1,1,0,0,2.75,2435.0,31.0,2356.0,1,1,0,0.0958904109589041,0.0,0.0,0.1739130434782608,0.2065217391304347,0.3846153846153846,0.0,0.0,0.0,0.0957854406130268,0.0961538461538461,0.75,0.5,27.0,1,0,1,1,1,0.1667,0.9041,0.0004
191.0,5.2574953720277815,Comillas,Carabanchel,Apartment/condo,Entire home/apt,Standard,small_group,within a day,large_operator,no_reviews,40.39579627892986,-3.714608154495826,2.5084,1,120,4,3.0,4.0,1.0,24,1,1,1,1,1,1,1,1,1,0,0.88,0.25,0.0,36.0,1.0,1.0,365,0,0,0,270,0,0,0,0,,,,,,,,0.0,36,36,0,0,,3425.0,,,0,7,1,0.2602739726027397,0.0,0.0,0.1847826086956521,0.8478260869565217,0.8571428571428571,0.0,0.0,0.1888888888888888,0.2615384615384615,0.2571428571428571,1.0,0.25,0.0,0,0,0,1,1,0.0,0.7397,-0.0044
265.0,5.583496308781699,Sol,Centro,Apartment/condo,Entire home/apt,Standard,family_group,within an hour,professional_host,reviewed_30d,40.4172728,-3.7066451,0.2465,1,994,6,4.0,4.0,2.0,34,1,1,1,1,1,1,1,1,1,0,1.0,1.0,1.0,20.0,1.0,1.0,365,11,40,64,339,104,37,2,54,4.71,4.77,4.78,4.76,4.86,4.85,4.67,1.0,13,13,0,0,3.46,2799.0,17.0,884.0,1,1,1,0.0712328767123287,0.0,0.0,0.1521739130434782,0.1304347826086956,0.2747252747252747,0.0,0.0,0.0111111111111111,0.0766283524904214,0.0576923076923076,0.6667,0.3333,18.0,1,1,1,0,1,0.3667,0.9288,-0.0189
118.0,4.77912349311153,Fuente del Berro,Salamanca,Apartment/condo,Entire home/apt,Standard,family_group,within an hour,large_operator,reviewed_30d,40.42924,-3.66083,3.8916,1,98,5,2.0,3.0,1.5,41,1,1,1,1,0,1,1,0,1,0,0.98,0.86,1.0,33.0,1.0,1.0,365,6,23,47,131,3,3,1,0,4.67,5.0,4.67,5.0,4.67,4.67,4.0,0.0,11,11,0,0,1.15,2664.0,8.0,69.0,1,4,1,0.6410958904109589,0.2222222222222222,1.0,0.967391304347826,0.3695652173913043,0.6153846153846154,0.8695652173913043,1.0,0.0666666666666666,0.6346153846153846,0.6571428571428571,0.6,0.3,3.0,1,1,1,1,0,0.2,0.3589,0.0225
75.0,4.330733340286331,Jerónimos,Retiro,Apartment/condo,Entire home/apt,Standard,small_group,within a few hours,single_listing,reviewed_90d,40.4132,-3.69301,0.9973,1,78,4,1.0,2.0,1.0,26,1,1,1,1,1,1,0,0,1,0,1.0,1.0,1.0,1.0,1.0,1.0,730,0,6,6,264,28,7,0,9,4.75,4.82,4.79,4.96,4.96,5.0,4.71,0.0,1,1,0,0,0.36,4776.0,58.0,2266.0,1,30,0,0.2767123287671232,0.0,0.0,0.3478260869565217,0.75,0.934065934065934,0.0,0.0217391304347826,0.1555555555555555,0.2720306513409962,0.2884615384615384,0.5,0.25,3.0,1,0,1,1,0,0.0,0.7233,0.0164
286.0,5.659482215759621,Palacio,Centro,Apartment/condo,Entire home/apt,Standard,large_group,within an hour,professional_host,reviewed_90d,40.41187,-3.71098,0.8185,1,1354,7,4.0,4.0,2.0,42,1,1,1,1,1,1,1,0,1,1,1.0,1.0,1.0,8.0,1.0,1.0,1000,0,0,0,150,92,7,0,13,4.9,4.92,4.92,4.95,4.98,4.98,4.82,0.0,7,7,0,0,0.95,3340.0,63.0,2850.0,1,5,1,0.589041095890411,0.0666666666666666,0.2747252747252747,1.0,1.0,1.0,0.0,0.9456521739130436,0.4111111111111111,0.5862068965517241,0.5961538461538461,0.5714,0.2857,5.0,1,0,1,1,0,0.0,0.411,0.0099
102.0,4.634728988229636,Almenara,Tetuán,House/villa,Entire home/apt,Standard,couple,within an hour,small_multi_host,reviewed_90d,40.4726091939965,-3.692247742567456,6.2822,0,154,2,1.0,1.0,1.0,26,1,1,1,1,1,1,0,0,1,0,0.8,0.98,0.0,3.0,1.0,1.0,365,12,37,60,335,34,23,0,16,4.15,4.35,4.44,4.41,4.24,4.09,3.88,1.0,3,2,1,0,2.45,437.0,60.0,355.0,1,1,0,0.0821917808219178,0.0,0.0,0.1304347826086956,0.1956521739130435,0.3076923076923077,0.0,0.0,0.0222222222222222,0.0727969348659003,0.1057692307692307,0.5,0.5,10.0,1,0,1,0,1,0.4,0.9178,0.033
143.0,4.969813299576001,Universidad,Centro,Apartment/condo,Entire home/apt,Standard,small_group,within an hour,large_operator,reviewed_30d,40.42165,-3.707,0.6035,1,1566,4,2.0,2.0,1.0,34,1,1,1,1,1,1,0,1,1,1,1.0,1.0,0.0,93.0,1.0,1.0,1125,7,27,57,59,353,55,5,65,4.48,4.58,4.66,4.74,4.75,4.89,4.41,1.0,93,93,0,0,4.36,3198.0,11.0,2417.0,1,3,1,0.8383561643835616,1.0,1.0,0.9891304347826086,0.3695652173913043,0.5164835164835165,1.0,1.0,0.8333333333333334,0.8314176245210728,0.8557692307692307,0.5,0.25,28.0,1,1,1,1,0,0.2333,0.1616,0.0244
