price_eur,log_price_eur,neighbourhood_cleansed,property_group,room_type,bathroom_type,capacity_bucket,host_response_time,host_scale_bucket,review_recency_bucket,latitude,longitude,distance_to_center_km,is_central_5km,neighbourhood_listing_count,accommodates,bedrooms,beds,bathrooms,amenities_count,has_wifi,has_kitchen,has_air_conditioning,has_washer,has_dedicated_workspace,has_tv,has_parking,has_elevator,has_heating,has_self_checkin,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,number_of_reviews_ly,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,host_tenure_days,days_since_last_review,review_history_days,has_reviews,minimum_nights_capped,is_professional_host,calendar_unavailable_rate,calendar_unavailable_q1,calendar_unavailable_q2,calendar_unavailable_q3,calendar_unavailable_q4,calendar_unavailable_autumn,calendar_unavailable_spring,calendar_unavailable_summer,calendar_unavailable_winter,calendar_unavailable_weekday,calendar_unavailable_weekend,beds_per_guest,bathrooms_per_guest,reviews_last_6m,has_rating,reviewed_last_30d,reviewed_last_90d,low_availability_30,high_annual_availability,availability_30_ratio,availability_365_ratio,calendar_weekend_unavailable_gap
38.5578,3.677762893479103,Kita Ku,Room,Private room,Shared,couple,within an hour,large_operator,reviewed_30d,35.738164127778816,139.7597590189768,6.3687,0,771,2,1.0,2.0,1.0,4,1,0,1,1,0,0,0,0,0,0,0.98,0.98,0.0,73.0,1.0,1.0,365,3,4,9,223,3,3,1,0,5.0,5.0,5.0,4.67,5.0,5.0,4.67,1.0,65,18,47,0,1.91,748.0,23.0,23.0,1,1,1,0.3890410958904109,0.4666666666666667,0.1758241758241758,0.0108695652173913,0.9021739130434784,0.6373626373626373,0.3152173913043478,0.0,0.6111111111111112,0.3869731800766283,0.3942307692307692,1.0,0.5,3.0,1,1,1,1,0,0.1,0.611,0.0073
60.791,4.12375772279045,Koto Ku,Apartment/condo,Entire home/apt,Standard,small_group,within an hour,professional_host,reviewed_30d,35.6890841,139.8379746,6.4609,0,493,4,1.0,2.0,1.0,35,1,1,1,1,0,0,0,0,1,1,1.0,0.99,0.0,8.0,1.0,1.0,365,0,0,0,0,10,10,2,0,4.8,4.8,4.9,4.9,4.9,4.6,4.8,1.0,8,8,0,0,1.9,258.0,9.0,148.0,1,2,1,0.4508196721311475,0.0,0.0549450549450549,1.0,0.7282608695652174,0.8804347826086957,0.0,0.7282608695652174,0.1888888888888888,0.4503816793893129,0.4519230769230769,0.5,0.25,10.0,1,1,1,1,0,0.0,0.0,0.0015
71.10159999999999,4.27807623544551,Taito Ku,Apartment/condo,Entire home/apt,Standard,small_group,within an hour,single_listing,reviewed_30d,35.71636,139.78765,4.3277,1,2373,4,1.0,2.0,1.0,21,1,0,1,0,0,1,0,1,1,0,0.94,1.0,0.0,1.0,1.0,1.0,365,9,22,42,216,38,36,3,14,4.29,4.5,4.21,4.5,4.84,4.55,4.5,1.0,1,1,0,0,2.99,835.0,15.0,365.0,1,1,0,0.4082191780821917,0.0333333333333333,0.0439560439560439,1.0,0.5434782608695652,0.7362637362637363,0.0,0.717391304347826,0.1777777777777777,0.4022988505747126,0.4230769230769231,0.5,0.25,20.0,1,1,1,0,0,0.3,0.5918,0.0208
74.0466,4.318109253922008,Koto Ku,House/villa,Entire home/apt,Standard,small_group,within an hour,professional_host,reviewed_30d,35.69791,139.83748,6.6221,0,493,4,2.0,2.0,1.0,33,1,1,1,1,1,0,1,0,1,0,1.0,1.0,1.0,11.0,1.0,1.0,365,5,10,27,288,27,26,1,4,4.89,4.85,4.93,5.0,4.93,4.59,4.93,1.0,11,11,0,0,2.19,2122.0,14.0,355.0,1,2,1,0.210958904109589,0.1111111111111111,0.0,0.0217391304347826,0.7065217391304348,0.5824175824175825,0.0,0.0,0.2666666666666666,0.2068965517241379,0.2211538461538461,0.5,0.25,19.0,1,1,1,1,1,0.1667,0.789,0.0143
225.153,5.4212117613675925,Shibuya Ku,House/villa,Entire home/apt,Standard,small_group,within an hour,professional_host,reviewed_30d,35.65081432817095,139.7215210273862,5.3263,0,1502,4,1.0,2.0,1.0,45,1,1,1,1,0,0,1,0,0,1,1.0,0.91,1.0,5.0,1.0,1.0,180,0,7,31,262,29,29,1,2,5.0,4.93,4.86,4.76,4.97,4.93,4.83,0.0,5,5,0,0,3.12,440.0,14.0,264.0,1,2,1,0.2821917808219178,0.4888888888888889,0.0,0.0217391304347826,0.6195652173913043,0.5824175824175825,0.0652173913043478,0.0,0.4888888888888889,0.2873563218390804,0.2692307692307692,0.5,0.25,15.0,1,1,1,1,0,0.0,0.7178,-0.0181
36.1584,3.615189855968064,Toshima Ku,Apartment/condo,Private room,Shared,couple,within an hour,large_operator,reviewed_30d,35.73963,139.69999,8.8841,0,2375,2,1.0,2.0,2.0,28,1,1,1,1,0,0,1,0,1,1,1.0,1.0,0.0,31.0,1.0,1.0,90,18,18,18,18,54,10,1,7,4.87,4.93,4.81,4.93,4.94,4.65,4.8,1.0,28,0,28,0,0.74,3071.0,13.0,2171.0,1,1,1,0.9506849315068492,1.0,1.0,1.0,0.8043478260869565,0.8021978021978022,1.0,1.0,1.0,0.946360153256705,0.9615384615384616,1.0,1.0,10.0,1,1,1,0,0,0.6,0.0493,0.0152
85.3802,4.458758482880651,Setagaya Ku,Apartment/condo,Entire home/apt,Standard,couple,within a day,large_operator,reviewed_365d,35.62863,139.63438,13.3402,0,816,2,0.0,1.0,1.0,27,1,1,1,1,1,1,0,0,1,1,0.5,0.91,0.0,40.0,1.0,1.0,180,0,0,0,273,48,3,0,6,4.81,4.85,4.79,4.96,4.92,4.9,4.75,0.0,39,39,0,0,0.55,3050.0,189.0,2434.0,1,2,1,0.2520547945205479,0.0,0.0,0.0217391304347826,0.9782608695652174,0.6923076923076923,0.0,0.0,0.3222222222222222,0.2528735632183908,0.25,0.5,0.5,0.0,1,0,0,1,1,0.0,0.7479,-0.0029
75.392,4.335877978647901,Machida Shi,House/villa,Entire home/apt,Standard,large_group,within an hour,small_multi_host,reviewed_90d,35.5622972,139.4654099,30.3053,0,41,8,2.0,4.0,1.0,21,1,1,1,1,1,0,0,0,1,1,1.0,1.0,0.0,4.0,1.0,1.0,90,21,42,65,334,6,6,0,0,4.67,4.5,4.5,5.0,5.0,4.5,4.5,1.0,4,1,3,0,1.01,904.0,78.0,100.0,1,4,0,0.084931506849315,0.0333333333333333,0.0,0.0,0.3043478260869565,0.1978021978021978,0.0,0.0,0.1444444444444444,0.0919540229885057,0.0673076923076923,0.5,0.125,6.0,1,0,1,0,1,0.7,0.9151,-0.0246
86.8,4.475061500641071,Shibuya Ku,Apartment/condo,Entire home/apt,Standard,family_group,within an hour,small_multi_host,reviewed_30d,35.68047,139.67538,8.2847,0,1502,5,1.0,2.0,1.0,40,1,1,1,1,1,1,1,0,1,1,1.0,1.0,0.0,2.0,1.0,1.0,60,4,8,24,188,23,23,10,0,4.91,4.91,4.91,4.78,4.96,4.48,4.91,1.0,2,2,0,0,7.75,102.0,5.0,83.0,1,1,0,0.4849315068493151,0.1333333333333333,0.0549450549450549,1.0,0.7391304347826086,0.9010989010989012,0.0543478260869565,0.6739130434782609,0.3111111111111111,0.4865900383141762,0.4807692307692308,0.4,0.2,23.0,1,1,1,1,0,0.1333,0.5151,-0.0058
74.8464,4.328710242571938,Taito Ku,Apartment/condo,Entire home/apt,Standard,couple,within an hour,small_multi_host,no_reviews,35.72334,139.79743,5.4274,0,2373,2,1.0,3.0,1.0,13,1,1,1,0,0,1,0,0,1,0,1.0,1.0,0.0,3.0,1.0,1.0,365,10,23,51,54,0,0,0,0,,,,,,,,1.0,3,3,0,0,,1041.0,,,0,1,0,0.852054794520548,1.0,1.0,0.9891304347826086,0.4239130434782608,0.7472527472527473,1.0,1.0,0.6555555555555556,0.8314176245210728,0.903846153846154,1.5,0.5,0.0,0,0,0,0,0,0.3333,0.1479,0.0724
